Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height,notes,
52,8084,1/27/2019,10:00:50,23.3,1,183.5,1515.3,1.7,111.3,2.4,21.2,8,14.6,6.5, uR/h,0,0,0,1,12.75,shale
53,8085,1/27/2019,10:00:50,23.3,1,188.7,1558.3,1.8,115.5,2.4,21.2,8,14.6,6.7, uR/h,0,0,0,1,13,sand/shale
54,8086,1/27/2019,10:00:50,23.5,1,164.6,1359.5,1.6,111.3,4.2,26.4,5.3,10.4,6.6, uR/h,0,0,0,1,13.25,calcilutite (bed A2)
55,8087,1/27/2019,10:00:50,23.5,1,192,1585.4,2.2,138.4,3.2,25.4,8.5,15.6,7.8, uR/h,0,0,0,1,13.5,calcilutite - questionable data
56,8088,1/27/2019,10:00:50,23.3,1,205,1693.1,2.6,154.1,1.5,18.1,9.2,16.7,7.7, uR/h,0,0,0,1,13.75,shale
57,8089,1/27/2019,10:00:50,23.3,1,241.2,1992.4,2.7,168.8,3.3,28.6,10.8,19.8,9.4, uR/h,0,0,0,1,14,shale
58,8090,1/27/2019,10:00:50,23.3,1,216.7,1789.5,2.5,154.1,2.1,23.3,11,19.8,8.5, uR/h,0,0,0,1,14.25,sand
59,8091,1/27/2019,10:00:50,23.3,1,224.9,1857.5,2.8,164.6,0.7,21.2,14.8,26.1,9.1, uR/h,0,0,0,1,14.5,shale
60,8092,1/27/2019,10:00:50,23.3,1,212.7,1757,2.3,146.8,2.8,26.5,11,19.8,8.5, uR/h,0,0,0,1,14.75,shale
61,8093,1/27/2019,10:00:50,23.3,1,207.4,1713.1,2.4,148.8,0.9,22.3,14.9,26.1,8.7, uR/h,0,0,0,1,15,sand/shale mostly sand
62,8094,1/27/2019,10:00:50,23.3,1,202,1668.1,2.3,140.5,0.8,20.2,13.7,24,8.1, uR/h,0,0,0,1,15.25,sand
63,8095,1/27/2019,10:00:50,23.3,1,150.3,1241.4,1.5,96.6,1.1,16,8.8,15.6,5.7, uR/h,0,0,0,1,15.5,sand
64,8096,1/27/2019,10:00:50,23.6,1,204,1684.7,2.2,146.8,4,30.6,9.6,17.7,8.7, uR/h,0,0,0,1,15.75,shale?
65,8097,1/27/2019,10:00:50,23.9,1,134,1106.5,1.2,75.7,0.8,11.8,6.4,11.5,4.3, uR/h,0,0,0,1,16,calcilutite
66,8098,1/27/2019,10:00:50,24,1,121.2,1001.1,1.1,71.5,0.9,12.9,7.1,12.5,4.4, uR/h,0,0,0,1,16.25,calcilutite (bed A6)
67,8099,1/27/2019,10:00:50,23.7,1,166.2,1373.1,1.9,118.6,2.5,18.1,5.5,10.4,6.1, uR/h,0,0,0,1,16.5,shale
68,8100,1/27/2019,10:00:50,23.7,1,210.7,1740.3,3.2,179.2,0.5,15,10.5,18.8,8.4, uR/h,0,0,0,1,16.75,shale
69,8101,1/27/2019,10:00:50,23.7,1,254.3,2100.3,3.2,199.1,4.4,31.7,9.4,17.7,10.4, uR/h,0,0,0,1,17,shale
70,8102,1/27/2019,10:00:50,23.5,1,275.1,2271.8,3.4,202.3,1.5,28.6,17.7,31.3,11.4, uR/h,0,0,0,1,17.25,shale
71,8103,1/27/2019,10:00:50,23.6,1,262.9,2171.2,3.1,186.6,2.7,26.5,11.5,20.9,9.8, uR/h,0,0,0,1,17.5,shale
72,8104,1/27/2019,10:00:50,23.6,1,243.8,2013.3,2.4,164.6,4.7,35.9,11.3,20.9,10, uR/h,0,0,0,1,17.75,shale
